alder	lagmellanstdlr	amneslarare	lararePrakEstet	yrkeslarare	Humanist	Konstutb	Teolog	Biblinfo	Ekonom	Org_adm	Jurist	Journalist	Psykolog	Samhbetvet	Biolog	Systvet	Geovet	Kemist	Matstat	Datavet	Arkitekt	Civ_ing	Hgsk_ing	Agronom	Veterinar	Apotekare	Arbterap	Biomed_analyt	Lakare	Receptarie	Sjukgymn	Sjukskoterska	Soc_omsorg	Socionom	Tandhyg	Tandlakare	Akademiker_totalt	GymnTotal	GymnNatv	GymnSamhv
19	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	62535	80461	81180	79727
20	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	183436	255704	258704	253545
21	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	304337	437251	443386	433711
22	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	425239	461860	425239	492640	425239	425239	425239	425239	500386	425239	425239	624415	634482	619542
23	613329	546140	558831	577580	610541	546487	546140	546140	546237	623765	546140	628177	546140	546205	546216	546725	546140	546140	546140	546140	546140	546140	640889	546140	546140	546140	618493	650090	546140	682106	616579	632332	617839	590274	695451	546140	546140	816884	831659	810719
24	801133	708712	732175	752319	800244	716746	750183	716731	766296	818445	741332	829246	667042	736676	740257	743683	736466	748991	756663	771979	667042	707325	861114	748246	667042	667042	810024	842366	667042	875740	806933	838982	811172	788789	892068	667042	743568	1014367	1034559	1006952
25	991745	905136	919016	941021	993897	900756	953146	889669	984256	1017413	941457	1032207	885092	929501	935057	953210	930571	946108	956183	1008126	879842	916032	1088948	955205	894592	892236	1003863	1037934	858208	1072679	1000055	1049197	1009373	989751	1089577	914580	946014	1216845	1243197	1208201
26	1184260	1104136	1109221	1134248	1191568	1089486	1159908	1066551	1208257	1225888	1154811	1239149	1101844	1129247	1134993	1172654	1129021	1144711	1158778	1252227	1092190	1142097	1323855	1169370	1117961	1119001	1199744	1237038	1119623	1273138	1196736	1261708	1211584	1193398	1288297	1161899	1157239	1424254	1457493	1414394
27	1378582	1305474	1303466	1330673	1393216	1282836	1369692	1246729	1440082	1445034	1381393	1450662	1323017	1335798	1339518	1401714	1331786	1344991	1369926	1504123	1310381	1384807	1565747	1386613	1345891	1355209	1398092	1438800	1390463	1477505	1396131	1476275	1416977	1399397	1487800	1414963	1376621	1636680	1677280	1625640
28	1574783	1509209	1500110	1531381	1598861	1480372	1582655	1430612	1682060	1675891	1621710	1667791	1548417	1548704	1548211	1640456	1539238	1548551	1592251	1762883	1534397	1643331	1814081	1608394	1578625	1601819	1598528	1644157	1668662	1685339	1598190	1692985	1624791	1607926	1688460	1673369	1603767	1853851	1902516	1841630
29	1772788	1715496	1699951	1735059	1807913	1682107	1799148	1617495	1935688	1918781	1875860	1890464	1778100	1767769	1761128	1887613	1751935	1756653	1826329	2027273	1763985	1914708	2068601	1834630	1815865	1857851	1801011	1852881	1954652	1896321	1803033	1911743	1835211	1818921	1890626	1936981	1838360	2075695	2133091	2062288
30	1972811	1925024	1905466	1945546	2020640	1887685	2018326	1809567	2202511	2172501	2143367	2119100	2011973	1993073	1978126	2146093	1969862	1971561	2072924	2298777	1998205	2196549	2329345	2064429	2057017	2124146	2005530	2064619	2247941	2110809	2010510	2132823	2048221	2032012	2094541	2203928	2080580	2301791	2368549	2287193
31	2174749	2136842	2114118	2160052	2236475	2096936	2240663	2004352	2479619	2436947	2420913	2353812	2250093	2224133	2198996	2410753	2194500	2193307	2330736	2574317	2237610	2488316	2595602	2298836	2301514	2396317	2211993	2279853	2549207	2328476	2220706	2356288	2263558	2247499	2298788	2474380	2329657	2532378	2609051	2516596
32	2378575	2350902	2325356	2377060	2455522	2309508	2466158	2202464	2767053	2709639	2708234	2594288	2492344	2460841	2423823	2681073	2424748	2421513	2596763	2854303	2483065	2789105	2866503	2538288	2551311	2674295	2420229	2498471	2859568	2549245	2433485	2582441	2481567	2465246	2504487	2748141	2585161	2766784	2853858	2749795
33	2583941	2567238	2539437	2596867	2677719	2525414	2694442	2403822	3064846	2990320	3004703	2840540	2738238	2703026	2652615	2956411	2660956	2657386	2869374	3139079	2732619	3098565	3140850	2783043	2804563	2958914	2630353	2720013	3178656	2772807	2648706	2811105	2702027	2685331	2711943	3026871	2846863	3004671	3102755	2986444
34	2791162	2785678	2755962	2820553	2902738	2744035	2925266	2607306	3372789	3277612	3310287	3092621	2987901	2950426	2885126	3236338	2903297	2901607	3148840	3427290	2986685	3416088	3418635	3033257	3061745	3249463	2842009	2944839	3507484	2999188	2866105	3042434	2925214	2907504	2920093	3307791	3113532	3244232	3353728	3224752
35	3000338	3006388	2974994	3047930	3131200	2965187	3159848	2814488	3690106	3571758	3623598	3349691	3240687	3202271	3120300	3521905	3154415	3152890	3434501	3718679	3244613	3739814	3698021	3286406	3321988	3546240	3055709	3172485	3845105	3228285	3085599	3276525	3150588	3131769	3129163	3590612	3383856	3486103	3607287	3465352
36	3211207	3229161	3196568	3276952	3362412	3188750	3396638	3024522	4016834	3871666	3944846	3611719	3497130	3458814	3359484	3811137	3411445	3410513	3723387	4013004	3507059	4070993	3980137	3545260	3587095	3846991	3270817	3402434	4191954	3460011	3307306	3513224	3378260	3358272	3339311	3876649	3657825	3731142	3864547	3709074
37	3423798	3453935	3419975	3508261	3596425	3414558	3635805	3236549	4352367	4176537	4273563	3878300	3756406	3720119	3601484	4104514	3673982	3673747	4015504	4310144	3771415	4408373	4264678	3807575	3854709	4154450	3487526	3635325	4546797	3694337	3530783	3752522	3608259	3586962	3550053	4165024	3935026	3980038	4126295	3956590
38	3638179	3680926	3645546	3742645	3832733	3642476	3877713	3451133	4695961	4485271	4608889	4148082	4018920	3984659	3846757	4401488	3940935	3941353	4309829	4610031	4038544	4751388	4551728	4074635	4124676	4465933	3705342	3869909	4909310	3931149	3756222	3994255	3840670	3817633	3761881	4457130	4215325	4231589	4391337	4206691
39	3854256	3909730	3873185	3979963	4071483	3872147	4122050	3667346	5046094	4798428	4950192	4419744	4283686	4252221	4094649	4701607	4210178	4213103	4607240	4911914	4308976	5100341	4840752	4343439	4396939	4782018	3924538	4106750	5280449	4170615	3983537	4238191	4075232	4050458	3974609	4751729	4498640	4485052	4658591	4458656
40	4071767	4140030	4103411	4219859	4310951	4100578	4369233	3886940	5401489	5115264	5296307	4694861	4549334	4520608	4341696	5005163	4479284	4488279	4907703	5215146	4580250	5450675	5129487	4615979	4669666	5103441	4144954	4345250	5659286	4411923	4212586	4484397	4311598	4285118	4187712	5047957	4784104	4740713	4928371	4712764
41	4290868	4372118	4335417	4461445	4552478	4330228	4619176	4108441	5762130	5434554	5646503	4971884	4816681	4791476	4591180	5310700	4751414	4766044	5209171	5520905	4852854	5804801	5420105	4892058	4944500	5428794	4366421	4585489	6045459	4655595	4442821	4732576	4549680	4522314	4401790	5346041	5071883	4998545	5200827	4968956
42	4511604	4606139	4569039	4704984	4796082	4561207	4871114	4331410	6127365	5756711	6001208	5250375	5085735	5065248	4842695	5619177	5026353	5047416	5510880	5827422	5127404	6162503	5712073	5170225	5220688	5758227	4588974	4826924	6438329	4901088	4674655	4982602	4789396	4761352	4616653	5646410	5361760	5259017	5476448	5227691
43	4733780	4841841	4804181	4950786	5041404	4793078	5125055	4556187	6496226	6079789	6358781	5530519	5357394	5341103	5095978	5928784	5302009	5330988	5813307	6135307	5404382	6523507	6005399	5450477	5499601	6093458	4812417	5069461	6837568	5149012	4907493	5234298	5030702	5002302	4832105	5949461	5653642	5520934	5753707	5487812
44	4957834	5079449	5040813	5198256	5288422	5025903	5381343	4782123	6868178	6404448	6719189	5812511	5629604	5619175	5350897	6241298	5578555	5616986	6115000	6443920	5682931	6887628	6299724	5732940	5780800	6431998	5036878	5312517	7242552	5398582	5141740	5487445	5273449	5245303	5048591	6254493	5947107	5783615	6032172	5748582
45	5183251	5318558	5279032	5447489	5536713	5254277	5640095	5010326	7241065	6730236	7081183	6096242	5902881	5898258	5604916	6553725	5857506	5900054	6416710	6752370	5960968	7251888	6593038	6018432	6064062	6773655	5262005	5556592	7651841	5651042	5377015	5741911	5517193	5490197	5268305	6565930	6242300	6045752	6310268	6008723
46	5410404	5559487	5518372	5698526	5785919	5482860	5900749	5239969	7615277	7057422	7445157	6380665	6178903	6179072	5859229	6867550	6136932	6184002	6718721	7059554	6240372	7617454	6886667	6306267	6348662	7120739	5487805	5801072	8066230	5905628	5613471	5997559	5761832	5736878	5488596	6878710	6538566	6308820	6589418	6269717
47	5639199	5801930	5758661	5950730	6036705	5711594	6163205	5471149	7990699	7384465	7810411	6666456	6454719	6461647	6114078	7181991	6417878	6468282	7019020	7368014	6520629	7984564	7180522	6596617	6634142	7472157	5714738	6045906	8484671	6162201	5850984	6254045	6007588	5985539	5709742	7194014	6835776	6571364	6867994	6530128
48	5869577	6046322	6000092	6204306	6289045	5940245	6427565	5703505	8366855	7711481	8176510	6953054	6731667	6746411	6368878	7498355	6697192	6751835	7319248	7676167	6803297	8352861	7474647	6886515	6923349	7826126	5942062	6299628	8906292	6428079	6089047	6511401	6253722	6236230	5939261	7511276	7133746	6834237	7147069	6790764
49	6112255	6292320	6254725	6469823	6552661	6168649	6692955	5937445	8742312	8048911	8543768	7251315	7009705	7032619	6624843	7813663	6976493	7034196	7618154	7983764	7087266	8721920	7779869	7177432	7214171	8184049	6180898	6553476	9330808	6695690	6338482	6780263	6511509	6500987	6170746	7830216	7432266	7096525	7425943	7050660
50	6357015	6555802	6510401	6736707	6817144	6410563	6973678	6186534	9129018	8386408	8924557	7552309	7290645	7335690	6893664	8142674	7265099	7321493	7924861	8304582	7374807	9105773	8083799	7485462	7509205	8544000	6420182	6807239	9759169	6964505	6588794	7049809	6769606	6768107	6402923	8152263	7746038	7359309	7705496	7310928
51	6603815	6821078	6767201	7004791	7082540	6652469	7254944	6436402	9515463	8723107	9305607	7853041	7589497	7639972	7163733	8471531	7553483	7608713	8229048	8621896	7680554	9489727	8388037	7794740	7822849	8925418	6659950	7060990	10208165	7234354	6840012	7319784	7028444	7037335	6636366	8493766	8060122	7621989	7985007	7570979
52	6852320	7088182	7024549	7273928	7349006	6893781	7537967	6687727	9899367	9059234	9686682	8153978	7890435	7945871	7432312	8799847	7839487	7894180	8532373	8940305	7987202	9873572	8690858	8105563	8138791	9309925	6900058	7314315	10658914	7505426	7091823	7590184	7287513	7308675	6870895	8837000	8374364	7884159	8264059	7830401
53	7102557	7356992	7282617	7543973	7616642	7134028	7823024	6939461	10281393	9394460	10067270	8454189	8191897	8253252	7702213	9126910	8123635	8176905	8834325	9254521	8295328	10256600	8993333	8416740	8456142	9693637	7140986	7567102	11111542	7778360	7344219	7860706	7546526	7582330	7105993	9182615	8688420	8146115	8543179	8089436
54	7354746	7627563	7541251	7814808	7884952	7373125	8108923	7192073	10660808	9728035	10447348	8755176	8493473	8562107	7970268	9453929	8406988	8456894	9136660	9571586	8603572	10638573	9294514	8728518	8774822	10081996	7382261	7819200	11564722	8052487	7597176	8131362	7805897	7857541	7341062	9529196	9002158	8407888	8822334	8348111
55	7609107	7900103	7800407	8086828	8154676	7605655	8396578	7446687	11035111	10060810	10827106	9054263	8796974	8877173	8226734	9775932	8676563	8732508	9430721	9879669	8912897	11018259	9594616	9041797	9097448	10470323	7624454	8070634	12021009	8329200	7850597	8401935	8064769	8135123	7577731	9875734	9315773	8668929	9100752	8605922
56	7865365	8174438	8059647	8359352	8425895	7837182	8686024	7701042	11406063	10392880	11204824	9357009	9101375	9192955	8483109	10098285	8944920	9006741	9727412	10184671	9223983	11395817	9894074	9355275	9419776	10864878	7867095	8320986	12475787	8607151	8104202	8672290	8324017	8414491	7814582	10224870	9628476	8929151	9378582	8862702
57	8123319	8450356	8319246	8632152	8696701	8067206	8976426	7956254	11773276	10722616	11580908	9656053	9405800	9510379	8739405	10418177	9209309	9276982	10020156	10487252	9535710	11771572	10190864	9668963	9744139	11262856	8109199	8570433	12929755	8885457	8357780	8942202	8582636	8696095	8052005	10574353	9940161	9188073	9655131	9118014
58	8383040	8728072	8579102	8904977	8968288	8296091	9267882	8211836	12136253	11050565	11955470	9955682	9711090	9828612	8995402	10734745	9471314	9541570	10312023	10787147	9848703	12144595	10486580	9980544	10070559	11662176	8350859	8818658	13382661	9165044	8612395	9211680	8840681	8978954	8290603	10925098	10250485	9445526	9930335	9371650
59	8644608	9007574	8838812	9178083	9239374	8522773	9559657	8467173	12494857	11377528	12328496	10253478	10016514	10147411	9251584	11048450	9730762	9802630	10604388	11089812	10161061	12514437	10780303	10294291	10397497	12063387	8593114	9065277	13834402	9445720	8866710	9480645	9098635	9263304	8529855	11277006	10559187	9700996	10203086	9623199
60	8907829	9289458	9098623	9451258	9513359	8746077	9852697	8722741	12845967	11702452	12701171	10551324	10322757	10470652	9500616	11366778	9993567	10055339	10891999	11389038	10476057	12880432	11070604	10608454	10728825	12465425	8835242	9310436	14285922	9727678	9120729	9748945	9355340	9548374	8769754	11631167	10866843	9953970	10473571	9872008
