Excellolumn,Etikett,Jämförelse,Grupp,Grupp - kort,Kolumn,Sortering
Förskollärar-,Förskollärare,Gymn Samhv,Pedagogik och lärarutbildning,Lärare,1,1
Låg-mellanstadie-,Låg- och mellanstadielärare,Gymn Samhv,Pedagogik och lärarutbildning,Lärare,1,1
Ämneslärare,Ämneslärare,Gymn Samhv,Pedagogik och lärarutbildning,Lärare,1,1
Lärarutbildning,Lärare i praktiskt-estetiskt ämne,Gymn Samhv,Pedagogik och lärarutbildning,Lärare,1,1
Yrkeslärar-,Yrkeslärare,Gymn Samhv,Pedagogik och lärarutbildning,Lärare,1,1
Humanistisk,Humanist,Gymn Samhv,Humaniora och konst,"Humaniora, Konst",1,2
Konstnärlig,Konstvetare,Gymn Samhv,Humaniora och konst,"Humaniora, Konst",1,2
Teolog-,Teolog,Gymn Samhv,Humaniora och konst,"Humaniora, Konst",1,2
Bibl-infovet,Bibliotekarie och informationsvetare,Gymn Samhv,Humaniora och konst,"Humaniora, Konst",1,2
Ekonom-,Ekonom,Gymn Samhv,"Samhällsvetenskap, juridik, handel och administration",Samhällsv. m.m.,2,1
Personal-betvet,Personalvetare,Gymn Samhv,"Samhällsvetenskap, juridik, handel och administration",Samhällsv. m.m.,2,1
Jurist-,Jurist,Gymn Samhv,"Samhällsvetenskap, juridik, handel och administration",Samhällsv. m.m.,2,1
Journalistik-Medievet,Journalist,Gymn Samhv,"Samhällsvetenskap, juridik, handel och administration",Samhällsv. m.m.,2,1
Psykolog,Psykolog,Gymn Samhv,"Samhällsvetenskap, juridik, handel och administration",Samhällsv. m.m.,2,1
Samhv-Förvaltn,Samhälls- och beteendevetare,Gymn Samhv,"Samhällsvetenskap, juridik, handel och administration",Samhällsv. m.m.,2,1
Biologi-,Biolog,Gymn Natv,"Naturvetenskap, matematik, data",Naturvetenskap,5,1
Systemvet,Systemvetare,Gymn Samhv,"Naturvetenskap, matematik, data",Naturvetenskap,5,1
Fysiker-,Fysiker,Gymn Natv,"Naturvetenskap, matematik, data",Naturvetenskap,5,1
Geovetensk,Geovetare,Gymn Natv,"Naturvetenskap, matematik, data",Naturvetenskap,5,1
Kemist-,Kemist,Gymn Natv,"Naturvetenskap, matematik, data",Naturvetenskap,5,1
Matem/statistiker,Matematiker och statistiker,Gymn Natv,"Naturvetenskap, matematik, data",Naturvetenskap,5,1
Arkitekt-,Arkitekt,Gymn Natv,Teknik och tillverkning,Teknik,3,1
Civilingenjörs-,Civilingenjör,Gymn Natv,Teknik och tillverkning,Teknik,3,1
Högskoleing.,Högskoleingenjör,Gymn Natv,Teknik och tillverkning,Teknik,3,1
Agronom-Hortonom,Agronom,Gymn Natv,Lant- och skogsbruk samt djursjukvård,"Lantbruk, Djursjukvård",3,2
Veterinär-,Veterinär,Gymn Natv,Lant- och skogsbruk samt djursjukvård,"Lantbruk, Djursjukvård",3,2
Apotekar-,Apotekare,Gymn Natv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Arbetsterapeut-,Arbetsterapeut,Gymn Samhv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Biomed analytiker,Biomedicinsk analytiker,Gymn Samhv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Läkar-,Läkare,Gymn Natv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Receptarie-,Receptarie,Gymn Samhv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Fysioterapeut-,Sjukgymnast,Gymn Samhv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Sjuksköterske-,Sjuksköterska,Gymn Samhv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Social omsorgs-,Social omsorg,Gymn Samhv,Social omsorg,Social omsorg,3,3
Socionom-,Socionom,Gymn Samhv,Social omsorg,Social omsorg,3,3
Tandhygienist-,Tandhygienist,Gymn Samhv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Tandläkar-,Tandläkare,Gymn Natv,Hälso- och sjukvård,Hälso- och sjukvård,4,1
Akademiker,"Akademiker, totalt",Gymn Samh+Natv,Övriga,Övriga,5,2
